value	group
0.769399	Alpha
0.77566	Alpha
0.76534	Alpha
0.768261	Alpha
0.766333	Alpha
0.761464	Alpha
0.763521	Alpha
0.760933	Alpha
0.757862	Alpha
0.757395	Alpha
0.775593	Alpha
0.775215	Alpha
0.77055	Alpha
0.762198	Alpha
0.758376	Alpha
0.779232	Alpha
0.772057	Alpha
0.762618	Alpha
0.770115	Alpha
0.758962	Alpha
0.765585	Alpha
0.766204	Alpha
0.748353	Alpha
0.786457	Alpha
0.748081	Alpha
0.774999	Alpha
0.765464	Alpha
0.755737	Alpha
0.760697	Alpha
0.76084	Alpha
0.760802	Alpha
0.763794	Alpha
0.759553	Alpha
0.767962	Alpha
0.764905	Alpha
0.763908	Alpha
0.765171	Alpha
0.77558	Alpha
0.767294	Alpha
0.762308	Alpha
0.779025	Alpha
0.776567	Alpha
0.763593	Alpha
0.763108	Alpha
0.761678	Alpha
0.769521	Alpha
0.777724	Alpha
0.780497	Alpha
0.771348	Alpha
0.765617	Alpha
0.771223	Alpha
0.761651	Alpha
0.766799	Alpha
0.765871	Alpha
0.759034	Alpha
0.767854	Alpha
0.768911	Alpha
0.773827	Alpha
0.769902	Alpha
0.7726	Alpha
0.76187	Alpha
0.75853	Alpha
0.758668	Alpha
0.762453	Alpha
0.763085	Alpha
0.762412	Alpha
0.7615	Alpha
0.77081	Alpha
0.766472	Alpha
0.756006	Alpha
0.756805	Alpha
0.768412	Alpha
0.760509	Alpha
0.77299	Alpha
0.773049	Alpha
0.779645	Alpha
0.746691	Alpha
0.756924	Alpha
0.766599	Alpha
0.760301	Alpha
0.763305	Alpha
0.766186	Alpha
0.761775	Alpha
0.762667	Alpha
0.765503	Alpha
0.765911	Alpha
0.767611	Alpha
0.755123	Alpha
0.752527	Alpha
0.780815	Alpha
0.787046	Alpha
0.787929	Alpha
0.753458	Alpha
0.756386	Alpha
0.764985	Alpha
0.768168	Alpha
0.762645	Alpha
0.759623	Alpha
0.776876	Alpha
0.754175	Alpha
0.770221	Alpha
0.771951	Alpha
0.768476	Alpha
0.776804	Alpha
0.769962	Alpha
0.767938	Alpha
0.767154	Alpha
0.758438	Alpha
0.757906	Alpha
0.779606	Alpha
0.774854	Alpha
0.772804	Alpha
0.765924	Alpha
0.778711	Alpha
0.777188	Alpha
0.772424	Alpha
0.768408	Alpha
0.76053	Alpha
